sap_code,product_id,month,year,quantity,status
1000001140,1,8,2025,48,1
1000001148,1,8,2025,12,1
1000001153,1,8,2025,49,1
1000001336,1,8,2025,75,1
1000001341,1,8,2025,10,1
1000001377,1,8,2025,11,1
1000001413,1,8,2025,30.5,1
1000001418,1,8,2025,46,1
1000001420,1,8,2025,72.5,1
1000001426,1,8,2025,5,1
1000001428,1,8,2025,12,1
1000001429,1,8,2025,32.5,1
1000001433,1,8,2025,10,1
1000001439,1,8,2025,6,1
1000001450,1,8,2025,6,1
1000001468,1,8,2025,25,1
1000001590,1,8,2025,30,1
1000001916,1,8,2025,5,1
1000001928,1,8,2025,36,1
1000001932,1,8,2025,65,1
1000001942,1,8,2025,105,1
1000001950,1,8,2025,5,1
1000001951,1,8,2025,65,1
1000001952,1,8,2025,12.5,1
1000002054,1,8,2025,5,1
1000002558,1,8,2025,10,1
1000002673,1,8,2025,5,1
1000002795,1,8,2025,35,1
1000002889,1,8,2025,42,1
1000003310,1,8,2025,8,1
1000003517,1,8,2025,56,1
1000003614,1,8,2025,10,1
1000003898,1,8,2025,28.5,1
1000003921,1,8,2025,100,1
1000004330,1,8,2025,15,1
1500000506,1,8,2025,22,1
1500000514,1,8,2025,18,1
1500000524,1,8,2025,12,1
1500000539,1,8,2025,6,1
1500000692,1,8,2025,6,1
1500000716,1,8,2025,7.5,1
1500000784,1,8,2025,12,1
1500000797,1,8,2025,5,1
1500000801,1,8,2025,23,1
1500000812,1,8,2025,10,1
1500000921,1,8,2025,15,1
1500000922,1,8,2025,5,1
1500000926,1,8,2025,10,1
1500001244,1,8,2025,2,1
1500011476,1,8,2025,25,1
1500011622,1,8,2025,11,1
1500011983,1,8,2025,31.5,1
1500012370,1,8,2025,15,1
1500012529,1,8,2025,4.5,1
1500012669,1,8,2025,25.5,1
1500012685,1,8,2025,10,1
1500012750,1,8,2025,5,1
1500012767,1,8,2025,20,1
1500012840,1,8,2025,25,1
1500013247,1,8,2025,30,1
1500013587,1,8,2025,12,1
1500013667,1,8,2025,7,1
1500013679,1,8,2025,5,1
1500013680,1,8,2025,42,1
1500014146,1,8,2025,5,1
1500014345,1,8,2025,12,1
1500014424,1,8,2025,10,1
1500014427,1,8,2025,5,1
1500014529,1,8,2025,12,1
1500014604,1,8,2025,11.5,1
1500014605,1,8,2025,25,1
1500014802,1,8,2025,5,1
1500014907,1,8,2025,8,1
1500014944,1,8,2025,25,1
1500014949,1,8,2025,5,1
1500014971,1,8,2025,10,1
1500015362,1,8,2025,75,1
1500015637,1,8,2025,11,1
1500015714,1,8,2025,5,1
1500016062,1,8,2025,11,1
1500016361,1,8,2025,10,1
1500016424,1,8,2025,9,1
1500016977,1,8,2025,2.5,1
1500016998,1,8,2025,20,1
1500017040,1,8,2025,4,1
1500017265,1,8,2025,5,1
1500017420,1,8,2025,5,1
1500017472,1,8,2025,75,1
1500017549,1,8,2025,5,1
1500017750,1,8,2025,42.45,1
1500017956,1,8,2025,6,1
1500017977,1,8,2025,15,1
1500018198,1,8,2025,15,1
